,provinsi,EYS,MYS,IPM,id,tahun
96,SULAWESI BARAT,12.22,6.94,62.96,77,2015
97,MALUKU,13.56,9.16,67.05,10,2015
98,MALUKU UTARA,13.1,8.37,65.91,9,2015
99,PAPUA BARAT,12.06,7.01,61.73,23,2015
100,PAPUA,9.95,5.99,57.25,16,2015
101,ACEH,13.53,8.71,68.81,32,2014
102,SUMATERA UTARA,12.61,8.93,68.87,24,2014
103,SUMATERA BARAT,13.48,8.29,69.36,26,2014
104,RIAU,12.45,8.47,70.33,19,2014
105,JAMBI,12.38,7.92,68.24,29,2014
106,SUMATERA SELATAN,11.75,7.66,66.75,28,2014
107,BENGKULU,13.01,8.28,68.06,31,2014
108,LAMPUNG,12.24,7.48,66.42,30,2014
109,KEP. BANGKA BELITUNG,11.18,7.35,68.27,25,2014
110,KEPULAUAN RIAU,12.51,9.64,73.4,76,2014
111,DKI JAKARTA,12.38,10.54,78.39,14,2014
112,JAWA BARAT,12.08,7.71,68.8,15,2014
113,JAWA TENGAH,12.17,6.93,68.78,6,2014
114,D I YOGYAKARTA,14.85,8.84,76.81,5,2014
115,JAWA TIMUR,12.45,7.05,68.14,8,2014
116,BANTEN,12.31,8.19,69.89,7,2014
117,BALI,12.64,8.11,72.48,18,2014
118,NUSA TENGGARA BARAT,12.73,6.67,64.31,2,2014
119,NUSA TENGGARA TIMUR,12.65,6.85,62.26,17,2014
120,KALIMANTAN BARAT,11.89,6.83,64.89,12,2014
121,KALIMANTAN TENGAH,11.93,7.82,67.77,27,2014
122,KALIMANTAN SELATAN,11.96,7.6,67.63,11,2014
123,KALIMANTAN TIMUR,13.17,9.04,73.82,21,2014
124,SULAWESI UTARA,12.16,8.86,69.96,22,2014
125,SULAWESI TENGAH,12.71,7.89,66.43,20,2014
126,SULAWESI SELATAN,12.9,7.49,68.49,13,2014
127,SULAWESI TENGGARA,12.78,8.02,68.07,4,2014
128,GORONTALO,12.49,6.97,65.17,3,2014
129,SULAWESI BARAT,11.78,6.88,62.24,77,2014
130,MALUKU,13.53,9.15,66.74,10,2014
131,MALUKU UTARA,12.72,8.34,65.18,9,2014
132,PAPUA BARAT,11.87,6.96,61.28,23,2014
133,PAPUA,9.94,5.76,56.75,16,2014
134,ACEH,13.36,8.44,68.3,32,2013
135,SUMATERA UTARA,12.41,8.79,68.36,24,2013
136,SUMATERA BARAT,13.16,8.28,68.91,26,2013
137,RIAU,12.27,8.38,69.91,19,2013
138,JAMBI,12.17,7.8,67.76,29,2013
139,SUMATERA SELATAN,11.46,7.53,66.16,28,2013
140,BENGKULU,12.78,8.09,67.5,31,2013
141,LAMPUNG,11.9,7.32,65.73,30,2013
142,KEP. BANGKA BELITUNG,10.96,7.32,67.92,25,2013
143,KEPULAUAN RIAU,12.26,9.63,73.02,76,2013
144,DKI JAKARTA,12.24,10.47,78.08,14,2013
145,JAWA BARAT,11.81,7.58,68.25,15,2013
146,JAWA TENGAH,11.89,6.8,68.02,6,2013
147,D I YOGYAKARTA,14.67,8.72,76.44,5,2013
148,JAWA TIMUR,12.17,6.9,67.55,8,2013
149,BANTEN,12.05,8.17,69.47,7,2013
150,BALI,12.4,8.1,72.09,18,2013
151,NUSA TENGGARA BARAT,12.46,6.54,63.76,2,2013
152,NUSA TENGGARA TIMUR,12.27,6.76,61.68,17,2013
153,KALIMANTAN BARAT,11.6,6.69,64.3,12,2013
154,KALIMANTAN TENGAH,11.71,7.79,67.41,27,2013
155,KALIMANTAN SELATAN,11.67,7.59,67.17,11,2013
156,KALIMANTAN TIMUR,12.85,8.87,73.21,21,2013
157,SULAWESI UTARA,11.88,8.79,69.49,22,2013
158,SULAWESI TENGAH,12.36,7.82,65.79,20,2013
159,SULAWESI SELATAN,12.52,7.45,67.92,13,2013
160,SULAWESI TENGGARA,12.45,7.93,67.55,4,2013
161,GORONTALO,12.13,6.96,64.7,3,2013
162,SULAWESI BARAT,11.46,6.87,61.53,77,2013
163,MALUKU,13.35,8.81,66.09,10,2013
164,MALUKU UTARA,12.48,8.27,64.78,9,2013
165,PAPUA BARAT,11.67,6.91,60.91,23,2013
166,PAPUA,9.58,5.74,56.25,16,2013
167,ACEH,13.19,8.36,67.81,32,2012
168,SUMATERA UTARA,11.97,8.72,67.74,24,2012
169,SUMATERA BARAT,12.81,8.27,68.36,26,2012
170,RIAU,11.79,8.34,69.15,19,2012
171,JAMBI,11.73,7.69,66.94,29,2012
172,SUMATERA SELATAN,11.42,7.5,65.79,28,2012
173,BENGKULU,12.2,8.01,66.61,31,2012
174,LAMPUNG,11.37,7.3,64.87,30,2012
175,KEP. BANGKA BELITUNG,10.79,7.25,67.21,25,2012
176,KEPULAUAN RIAU,11.9,9.58,72.36,76,2012
177,DKI JAKARTA,11.96,10.43,77.53,14,2012
178,JAWA BARAT,11.24,7.52,67.32,15,2012
179,JAWA TENGAH,11.39,6.77,67.21,6,2012
180,D I YOGYAKARTA,14.64,8.63,76.15,5,2012
181,JAWA TIMUR,11.74,6.85,66.74,8,2012
182,BANTEN,11.79,8.06,68.92,7,2012
183,BALI,12.26,8.05,71.62,18,2012
184,NUSA TENGGARA BARAT,12.21,6.33,62.98,2,2012
185,NUSA TENGGARA TIMUR,11.73,6.71,60.81,17,2012
186,KALIMANTAN BARAT,11.11,6.62,63.41,12,2012
187,KALIMANTAN TENGAH,11.22,7.73,66.66,27,2012
188,KALIMANTAN SELATAN,11.54,7.48,66.68,11,2012
189,KALIMANTAN TIMUR,12.46,8.83,72.62,21,2012
190,SULAWESI UTARA,11.77,8.71,69.04,22,2012
191,SULAWESI TENGAH,12.09,7.73,65,20,2012
192,SULAWESI SELATAN,12.16,7.37,67.26,13,2012
193,SULAWESI TENGGARA,12.45,7.76,67.07,4,2012
194,GORONTALO,11.78,6.92,64.16,3,2012
195,SULAWESI BARAT,11.28,6.76,61.01,77,2012
196,MALUKU,12.96,8.8,65.43,10,2012
197,MALUKU UTARA,12.19,8.04,63.93,9,2012
198,PAPUA BARAT,11.45,6.87,60.3,23,2012
199,PAPUA,9.11,5.73,55.55,16,2012
200,ACEH,13.03,8.32,67.45,32,2011
201,SUMATERA UTARA,11.83,8.61,67.34,24,2011
202,SUMATERA BARAT,12.52,8.2,67.81,26,2011
203,RIAU,11.78,8.29,68.9,19,2011
204,JAMBI,11.6,7.48,66.14,29,2011
205,SUMATERA SELATAN,11.21,7.42,65.12,28,2011
206,BENGKULU,11.88,7.93,65.96,31,2011
207,LAMPUNG,11.04,7.28,64.2,30,2011
208,KEP. BANGKA BELITUNG,10.7,7.19,66.59,25,2011
209,KEPULAUAN RIAU,11.61,9.46,71.61,76,2011
210,DKI JAKARTA,11.91,10.4,76.98,14,2011
211,JAWA BARAT,10.91,7.46,66.67,15,2011
212,JAWA TENGAH,11.18,6.74,66.64,6,2011
213,D I YOGYAKARTA,14.61,8.53,75.93,5,2011
214,JAWA TIMUR,11.62,6.79,66.06,8,2011
215,BANTEN,11.41,7.95,68.22,7,2011
216,BALI,12.12,7.77,70.87,18,2011
217,NUSA TENGGARA BARAT,11.97,6.07,62.14,2,2011
218,NUSA TENGGARA TIMUR,11.55,6.6,60.24,17,2011
219,KALIMANTAN BARAT,10.8,6.32,62.35,12,2011
220,KALIMANTAN TENGAH,11.15,7.68,66.38,27,2011
221,KALIMANTAN SELATAN,11.14,7.37,65.89,11,2011
222,KALIMANTAN TIMUR,12.06,8.79,72.02,21,2011
223,SULAWESI UTARA,11.5,8.68,68.31,22,2011
224,SULAWESI TENGAH,11.82,7.69,64.27,20,2011
225,SULAWESI SELATAN,11.82,7.33,66.65,13,2011
226,SULAWESI TENGGARA,12.3,7.67,66.52,4,2011
227,GORONTALO,11.68,6.89,63.48,3,2011
228,SULAWESI BARAT,11.21,6.65,60.63,77,2011
229,MALUKU,12.85,8.72,64.75,10,2011
230,MALUKU UTARA,11.79,7.98,63.19,9,2011
231,PAPUA BARAT,11.21,6.82,59.9,23,2011
232,PAPUA,8.92,5.6,55.01,16,2011
233,ACEH,12.9,8.28,67.09,32,2010
234,SUMATERA UTARA,11.82,8.51,67.09,24,2010
235,SUMATERA BARAT,12.22,8.13,67.25,26,2010
236,RIAU,11.76,8.25,68.65,19,2010
237,JAMBI,11.34,7.34,65.39,29,2010
238,SUMATERA SELATAN,11.03,7.34,64.44,28,2010
239,BENGKULU,11.59,7.85,65.35,31,2010
240,LAMPUNG,10.88,7.26,63.71,30,2010
241,KEP. BANGKA BELITUNG,10.48,7.07,66.02,25,2010
242,KEPULAUAN RIAU,11.51,9.38,71.13,76,2010
243,DKI JAKARTA,11.86,10.37,76.31,14,2010
244,JAWA BARAT,10.69,7.4,66.15,15,2010
245,JAWA TENGAH,11.09,6.71,66.08,6,2010
246,D I YOGYAKARTA,14.15,8.51,75.37,5,2010
247,JAWA TIMUR,11.49,6.73,65.36,8,2010
248,BANTEN,11.02,7.92,67.54,7,2010
249,BALI,11.71,7.74,70.1,18,2010
250,NUSA TENGGARA BARAT,11.66,5.73,61.16,2,2010
251,NUSA TENGGARA TIMUR,10.85,6.5,59.21,17,2010
252,KALIMANTAN BARAT,10.79,6.27,61.97,12,2010
253,KALIMANTAN TENGAH,11.09,7.62,65.96,27,2010
254,KALIMANTAN SELATAN,10.86,7.25,65.2,11,2010
255,KALIMANTAN TIMUR,11.87,8.56,71.31,21,2010
256,SULAWESI UTARA,11.34,8.66,67.83,22,2010
257,SULAWESI TENGAH,11.17,7.65,63.29,20,2010
258,SULAWESI SELATAN,11.47,7.29,66,13,2010
259,SULAWESI TENGGARA,12.15,7.57,65.99,4,2010
260,GORONTALO,11.12,6.85,62.65,3,2010
261,SULAWESI BARAT,10.58,6.63,59.74,77,2010
262,MALUKU,12.62,8.64,64.27,10,2010
263,MALUKU UTARA,11.74,7.91,62.79,9,2010
264,PAPUA BARAT,11.1,6.77,59.6,23,2010
265,PAPUA,8.57,5.59,54.45,16,2010
